id,display,rank
108275,Svinetorvet,12
59185,Norsgade 14,12
54412,Marstrandsgade 23,12
26810,Graven 3,12
67525,Rosensgade 20,12
67493,Rosenkrantzgade 11,12
94561,Vestergade 50,12
399,Dammen,12
24005,Frederiksgade 34,12
1119,Ingerslevs Plads,12
83686,Store Torv 9,12
45607,Klostergade 10,12
60835,Nørrebrogade 3,12
109006,Dynkarken,12
85788,Søndergade 64,12
42536,Kannikegade 1,12
68837,Ryesgade 12,12
32191,Heibergsgade 19,12
75558,Skolegade 37,12
24002,Frederiksgade 31,12
97082,Volden 30,12
54820,Mejlgade 40,12
226,Borggade (1930-),12
33697,Hjelmensgade 14,12
87852,Thunøgade 56,11
85780,Søndergade 49,11
54857,Mejlgade 65,11
23736,Fredensgade 43,11
23985,Frederiksgade 9,11
1521,Læssøesgade,11
54850,Mejlgade 53,11
54792,Mejlgade 19,11
75540,Skolegade 11,11
54783,Mejlgade 16,11
68829,Ryesgade 7,11
54833,Mejlgade 46,11
68832,Ryesgade 9,11
33692,Hjelmensgade 9,11
60846,Nørrebrogade 18,11
45880,Knudrisgade 30,11
97080,Volden 28,11
442,Dybkjær,11
23728,Fredensgade 36,11
84467,Studsgade 22,11
61360,Odensegade 5,11
84486,Studsgade 40,11
24011,Frederiksgade 40,11
83687,Store Torv 10,11
54899,Mejlgade 103,11
54888,Mejlgade 89,11
26847,Graven 19,11
85607,Sølystgade 12,11
54852,Mejlgade 55,11
84,Asylvej,11
23699,Fredensgade 16,11
63302,Paradisgade 7,11
73176,Sjællandsgade 119,11
54886,Mejlgade 87,11
54781,Mejlgade 14,11
73190,Sjællandsgade 130,11
93139,Valdemarsgade 3,10
59196,Norsgade 22,10
1877,Plantagen,10
75550,Skolegade 25,10
60896,Nørregade 47,10
1010,Holmevej,10
45877,Knudrisgade 27,10
51108,Lollandsgade 38,10
56410,Museumsgade 2,10
28556,Guldsmedgade 20,10
67514,Rosensgade 11,10
14630,Christiansgade 29,10
60856,Nørrebrogade 30,10
1398,Landlyst,10
2654,Vejlegade (1912-),10
109492,Frederiksport,10
245,Bredgade,10
60838,Nørrebrogade 8,10
28560,Guldsmedgade 21,10
22922,Fiskergade 100,10
1580,Marselisvej (1909-),10
61364,Odensegade 12,10
3152,Absalonsgade 21,10
60885,Nørregade 34,10
24062,Frederiksgade 82,10
1347,Krogen,10
67518,Rosensgade 16,10
73107,Sjællandsgade 65,10
23733,Fredensgade 41,10
24024,Frederiksgade 52,10
5202,Badstuegade 10,10
1807,Oldjorden,10
84468,Studsgade 24,10
28580,Guldsmedgade 34,10
84462,Studsgade 12,10
60845,Nørrebrogade 16,10
28313,Grønnegade 45,10
85775,Søndergade 43,10
24031,Frederiksgade 69,10
94599,Vestergade 69,10
85622,Sølystgade 23,10
26827,Graven 10,10
68840,Ryesgade 18,10
26805,Graven 2,10
84471,Studsgade 27,10
2004,Rungstedvej (1920-),10
